,url,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
320774,https://vermont.craigslist.org/apa/d/ludlow-3br-2-bath-townhouse-unit-ludlow/7041168289.html,vermont,1125,townhouse,1100,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00F0F_iTvW6KCQ5oB_600x450.jpg,"3BR 2 BATH TOWNHOUSE B-UNIT - LUDLOW, VT NEAR OKEMO MTN  WE ONLY DO YEAR-ROUND RENTALS; NO SHORT-TERM RENTALS!  Sunny, Remodeled 6 Rm, 3BR, 2 Full Bath, Unfurnished Unit, Approx'ly 1100SF.  Quiet area and short walk to Ludlow Downtown. 3BR, Kitchen,  LR, DR, Encl'd Porch, Huge Yard.  W-T-W Carpets and Tile in Baths and Kitchen.  Gas Hot Water Baseboard Heat; New 94% Hi Efficiency 3-Zone Gas Boiler.  Incl's Stove, Frig, Electric FP, Washer and Dryer.  Off-Street Parking.  Cats allowed at + $50/mo Each;  Some (Smaller, Non-Dangerous) Dogs Allowed at +$75/mo Each.  Tenant Pays All Utilities plus 2 Month Security Deposit.  Available Immediately!  Prospect Street, Ludlow, VT 05149. Near OKEMO MTN.  CALL  show contact info  and leave all your information;  We look forward to hearing from you soon and have a Great Day!",43.398999999999994,-72.7036,vt
320775,https://vermont.craigslist.org/apa/d/ludlow-fully-furnished-two-bed-unit-in/7044393975.html,vermont,750,condo,900,2,1.0,1,1,0,0,0,1,laundry on site,off-street parking,https://images.craigslist.org/00T0T_bn3G4HISKUm_600x450.jpg,"Available April 1st through October 31st only.   Furnished two-bedroom, pet-friendly, clean, comfortable, condo in Ludlow Village. Located in a historic mill with all of the great features one would expect. Just step out the front door and you have access to a variety of great restaurants, shops, coffee, sweets and shopping.   This condo is available at this rate from April through October only. Seasonal rental available Nov-April.  Unit Details:  The condo is fully furnished & equipped   Bedroom 1 has a comfortable queen bed  Bedroom 2 has full bed & a twin bed  Living room has a pullout sleep sofa  Kitchen is ready to go and fully stocked with all of the basic kitchen amenities  Wood burning fireplace with an endless supply of wood  Wired for internet & cable, flat screen tv, games & books  Pet friendly (Friendly well-behaved dogs only)  Non-smoking unit  Heat, Water & Parking Included - Tenants pay all other utilities.  Laundry Onsite",43.3961,-72.70100000000001,vt
320776,https://vermont.craigslist.org/apa/d/saint-albans-senior-apartment/7047354939.html,vermont,1400,apartment,1250,2,2.0,0,1,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00o0o_cn1eF1P1OAt_600x450.jpg,"**Available for immediate move in**  Independent Senior Living for 55 and up. Our newly renovated Senior Living Apartment is available for move in. The unit is designed for 55 years and up and located next door to Holiday House Residential Care. This 2 bedroom, 2 bathroom apartment is located on the 2nd floor with a one car garage and extra parking. All new appliances, flooring and fixtures with a full size washer and dryer included. Tenants responsible for electricity and cable/phone. Rent includes heat, water/sewer, plowing and maintenance.   2 Total Bedrooms 2 Total Baths Full size Washer/Dryer Large Living Room New Appliances with Dishwasher In-house Maintenance   First month's rent and security deposit required. One small pet negotiable with $500 pet deposit.",44.8266,-73.069,vt
320777,https://vermont.craigslist.org/apa/d/charlotte-mobile-home-for-rent-in/7044544308.html,vermont,975,manufactured,980,3,2.0,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/01616_2XIoBUjeaSB_600x450.jpg,"980 square foot mobile home. Two bedroom possibly three two bathrooms. Older mobile home. Could use somebody that is a little handy. Has a large front lawn, rubbish removal included. Tenants pay heating lights heat is propane. This mobile home sets in a small Mobile Home Park. Must have good references and deposits and a good background. A good friendly dog is okay Calling me works better for me I do eventually get to emails",44.3192,-73.1874,vt
320778,https://vermont.craigslist.org/apa/d/keene-close-to-downtown-rt-9-colony/7050423372.html,vermont,2200,apartment,1391,3,2.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00u0u_3qZHb5xfG9q_600x450.jpg,"We are offering a $500 security deposit with your good credit on all 1 & 2 bedrooms!!!!  These elegant lofts apartments have it allâstyle, location, comfort and convenience, all rolled into a chic, pet-friendly rental community youâll love coming home to!   Colony Mill offers a variety of beautiful brand new studio, 1, 2 and 3 bedroom lofts that capture the buildingâs stunning historic style with soaring ceilings, bright, and over-sized windows, many with original wood flooring, exposed brick and beams and private entrances. Each unit is masterfully designed with a sleek, modern kitchen, in-home washer/dryer, central A/C and ample closet space. Colony Mill residents also enjoy unlimited access to our tastefully-appointed on-site amenities:   â¢	Fully-equipped fitness center  â¢	State-of-the-art theater room with cinema-style seating and big screen TV  â¢	Community room with lounge seating, full kitchen and billiards table  â¢	Wifi lounge  â¢	Lending library  To schedule your personal tour, call us today at  show contact info  or click on the REPLY box above for our email contact info. Personal tours available 7 days a week: Monday - Saturday from 8:30 AM until 5:00 PM, Sunday from 12:00 PM â 5:00 PM.   *subject to change at any time.  Photos may represent similar unit.   Owned and professionally managed by Brady Sullivan Properties.  es089                                                  Keene, Gilsum, Sullivan, Spofford, Walpole, Chesterfield, Dublin, Stoddard, Nelson, Swanzey, West Swanzey, Marlborough, Westmoreland, Harrisville, Alstead, Marlow, West Chesterfield, Troy, Putney, Westminster,  Greenfield, MA, Rockingham, VT, Athol, MA	Jaffrey, NH, Charlestown, NH, Winchendon, MA, Rindge, NH, North Adams, MA, Peterborough, NH, Springfield, VT, Bennington, VT, Amherst, MA, Manchester, VT",42.9627,-72.2955,vt
320779,https://vermont.craigslist.org/apa/d/burlington-beautiful-3-bedroom-on-pine/7036095094.html,vermont,2250,apartment,900,3,1.0,1,1,0,0,0,0,w/d in unit,,https://images.craigslist.org/00k0k_30PUo4SfdO1_600x450.jpg,"** Available JUNE 1st 2020 **  Gorgeous 3 bedroom apartment. Recently renovated bathroom and kitchen with new hardwood floors throughout and new cabinets, counter tops, stainless steel appliances and fixtures! Great location! Close walk to Church Street, restaurants, marketplace, waterfront and dog park. Along the bus line.  -Professionally managed with 24 hour on call maintenance service -Washer & Dryer in unit -Off street parking provided  Tenant is responsible for the Heat (natural gas), Electric, Cable/Internet.  Owner is responsible for the plowing, lawn care, water/sewer and trash.  Pet Friendly Building with a $250 pet deposit and $25 monthly pet rent per pet.",44.4736,-73.2154,vt
320780,https://vermont.craigslist.org/apa/d/burlington-available-june-bedroom-gem/7036098151.html,vermont,2495,apartment,922,3,1.0,0,0,0,0,0,0,w/d in unit,,https://images.craigslist.org/00V0V_6g0pciub9k8_600x450.jpg,"**Available June 1st 2020**  Natural light and beautiful hardwood floors makes this apartment a true gem on Greene Street. Updated bathroom and kitchen with new fixtures and loads of character and charm. Close walk to Church Street, restaurants, marketplace, waterfront, dog park and the Intervale!!  -Professionally managed with 24-hour on-call maintenance service. -Off street parking provided -Washer & Dryer in unit  Tenant is responsible for the Heat (natural gas), Electric, Cable/Internet.  Owner is responsible for the plowing, lawn care, water/sewer and trash.  Pet Friendly Building with a $250 pet deposit and $25 monthly pet rent per pet.  To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.483999999999995,-73.2199,vt
320781,https://vermont.craigslist.org/apa/d/burlington-huge-4-bedroom-on-buell/7036102681.html,vermont,3100,apartment,1885,4,1.0,0,0,0,0,0,0,,,https://images.craigslist.org/00z0z_8npu2tJe3PM_600x450.jpg,"** Available June 1st, 2020 **  AWESOME LOCATION! Walk to downtown in minutes. This large 4 bedroom 2nd and 3rd floor apartment has great old features throughout. Access to the front porch and an additional balcony off a second floor bedroom. $775 per bedroom. On site Laundry.  Tenant responsible for: Gas Heat, electric, Cable and Water/sewer. Sorry NO DOGS, cats negotiable. NO SMOKING  To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.483999999999995,-73.2199,vt
320782,https://vermont.craigslist.org/apa/d/burlington-june-2020-spacious-5-bedroom/7036106333.html,vermont,3500,apartment,1885,5,2.0,0,0,0,0,0,0,,,https://images.craigslist.org/00N0N_42u0XVT7aOG_600x450.jpg,"**Available June 1st, 2020 **  AMAZING LOCATION! This large 2nd and 3rd floor apartment boasts 5 Bedrooms, 2 bathrooms, living room, large kitchen, front porch access, wood, laminate and carpet floors. Great location close to downtown.   Tenants responsible for: Gas Heat, Electric, Cable and Water/Sewer.  Sorry NO DOGS, cats negotiable. NO SMOKING.  To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.4791,-73.21,vt
320783,https://vermont.craigslist.org/apa/d/burlington-spacious-and-sunny-2-bedroom/7039842991.html,vermont,1600,apartment,800,2,1.0,0,0,0,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00S0S_gG9ucnetAVk_600x450.jpg,"**AVAILABLE for January 10th**  Very nice, updated 3rd floor unit with high ceilings and deck. 2 bedrooms with views, 1 full bath with on site laundry. Nice open floor plan with living area and kitchen combined. 2 entrances with plenty of space for moving furniture. 1 off street parking space.   Tenant responsible for: Natural Gas heat, Electricity, Cable, Water/Sewer. Landlord pays: Trash, Grounds Maintenance.  Cats accepted with $500 Refundable Pet Deposit! Sorry, No Dogs Please!  To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.4865,-73.2076,vt
320784,https://vermont.craigslist.org/apa/d/burlington-awesome-2-bed-office-in-the/7039839139.html,vermont,1900,apartment,1100,2,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00k0k_4AvfbcdJ2aH_600x450.jpg,"**Available January 18th 2020**  Nice first level, 2 bedroom + office apartment in the New Old North End! Large living room with built in shelves and tons of windows. Great 2 Bedroom unit with new kitchen and new bath. Kitchen has new cabinets, countertops and stainless steel appliances including an over the stove microwave. Bathroom has new sink vanity, toilet and oversize shower. Kitchen has plenty of storage with a pantry and laundry closet with Washer/dryer included. This apartment has 2 decks for you to relax on. A front porch offers an intimate view to the neighborhood while the back deck offers privacy. Small yard for gardening and BBQ's as well as a DOG! Some storage in the basement.   Tenant pays: electricity, cable & heat (gas & electric)  Owner pays for: lawn, plowing, water and trash.  Pets Welcome w/additional deposit. Some breeds might be restricted because of the buildings insurance policy.   To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.4839,-73.2158,vt
320785,https://vermont.craigslist.org/apa/d/south-burlington-spacious-luxury-3-bed/7048284603.html,vermont,2295,apartment,1420,3,2.0,0,0,1,0,0,0,w/d in unit,carport,https://images.craigslist.org/00000_4PoRIvzPY9H_600x450.jpg,"** Available Now **  *** Heat/Central Air Included! ***  Large 3 bedroom corner unit on upper floor in a fantastic location! This building is off of Shelburne Street right behind Shaw's near Walgreens, Starbucks, Market 32 and TJ Maxx. Eastwood Commons provides 1 level living at its finest! Open floor plan with terrific flow from well designed kitchen with new dishwasher to dining to living area and 3 generous bedrooms including a Master Suite with a full bath and walk-in closet. Beautiful balcony overlooks mature trees and a quiet street. Building features elevator, underground parking w/storage if requested. Exercise room and common rooms, underground parking & dedicated storage in the garage. Terrific location just a stone's throw from grocery stores, diverse shopping options, restaurants, public transportation and close to Oakledge Park, the bike-path, downtown Burlington, UVM Medical Center & I-89.   Washer & Dryer in Unit.   Tenants are responsible for initial credit/criminal background report as well as the following utilities: Electric &Cable/Wifi.   Owner covers Heat + Central Air, Trash/Recycling, Snow Removal, Lawn Care, Water/Sewer.   Off Street Parking Provided   Pets welcome w/Additional Deposit   To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.4505,-73.2059,vt
320786,https://vermont.craigslist.org/apa/d/burlington-beautiful-one-2-bedroom-for/7048564062.html,vermont,1820,apartment,1100,2,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00x0x_3Ue0sQdgpOo_600x450.jpg,"**MOVE IN FOR JUNE 1, 2020**  VERY spacious and updated second floor unit in great downtown Burlington location. You'll LOVE the refinished hardwood floors, updated open floor plan kitchen and living.  Completely updated kitchen with stainless steel appliances pendant lights and tons of the counter space. The bathroom has also been completely renovated.  Tons of light throughout and great closets in the bedrooms.  You'll love that the bedrooms are on opposite sides of the unit for additional privacy. Private porch off larger bedroom.  -Professionally managed with 24-hour on-call maintenance service. -Washer & Dryer in unit. -On-site parking provided -Locked storage unit in basement  Tenant is responsible for the Heat (natural gas), Electric, Cable/Internet. (Average gas $65 per month) Owner is responsible for the plowing, lawn care, water/sewer and trash.   PET FRIENDLY w/$300 pet fee -limit to one pet  To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.4858,-73.21300000000001,vt
320787,https://vermont.craigslist.org/apa/d/burlington-greene-street-2-bedroom/7048568183.html,vermont,1675,apartment,922,2,1.0,1,1,0,0,0,0,w/d in unit,,https://images.craigslist.org/00X0X_g2x4BO2vEwQ_600x450.jpg,"**AVAILABLE FOR MOVE IN 6/1/20**  Natural light and beautiful hardwood floors makes this apartment a true gem on Greene St. Updated bathroom and kitchen with new fixtures and stainless steel appliances, plus loads of character and charm. Close walk to Church Street, restaurants, marketplace, waterfront, dog park and the Intervale!!  -Professionally managed with 24-hour on-call maintenance service. -Off street parking provided -Washer & Dryer in unit  Tenant is responsible for the Heat (natural gas), Electric, Cable/Internet.  (Average gas $99 per month) Owner is responsible for the plowing, lawn care, water/sewer and trash.  PET FRIENDLY building w/$300 non-refundable pet fee. Limit one pets.  To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.4825,-73.2074,vt
320788,https://vermont.craigslist.org/apa/d/burlington-adorable-and-affordable-pine/7048573087.html,vermont,2100,apartment,900,3,1.0,1,1,1,0,0,0,w/d in unit,,https://images.craigslist.org/00T0T_6i19VrZn21O_600x450.jpg,"**Now Leasing for June 2020**  Price recently reduced! Gorgeous 3 bedroom apartment. Recently renovated bathroom and kitchen with new hardwood floors throughout. New cabinets, counter tops, stainless steel appliances and fixtures! Great location! Close walk to Church Street, restaurants, farmer's market, waterfront and dog park. Along the bus line.   Professionally managed with 24 hour on call maintenance service  Washer & Dryer in unit  Limited off-street parking provided in shared driveway  Tenant is responsible for initial credit/criminal background report fee, as well as the following utilities: Heat (natural gas), Electric, Cable/Wifi & Renters Insurance   Owner is responsible for the plowing, lawn care, water/sewer and trash.  Pet-friendly building with a $250 pet deposit and $25 monthly pet rent per pet.  To view pictures, see more details, and to schedule a showing please go to www.fpmvt.com/rentals!",44.4737,-73.2154,vt
320789,https://vermont.craigslist.org/apa/d/keene-save-money-in-2020-with-only-500/7049132098.html,vermont,1650,apartment,789,2,1.0,1,1,1,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00l0l_8t8MAUME0vM_600x450.jpg,"We are offering a $500 security deposit with your good credit on all 1 & 2 bedrooms !!!!  These elegant lofts apartments have it allâstyle, location, comfort and convenience, all rolled into a chic, pet-friendly rental community youâll love coming home to!  Colony Mill offers a variety of beautiful brand new studio, 1, 2 and 3 bedroom lofts that capture the buildingâs stunning historic style with soaring ceilings, bright, and over-sized windows, many with original wood flooring, exposed brick and beams and private entrances. Each unit is masterfully designed with a sleek, modern kitchen, in-home washer/dryer, central A/C and ample closet space. Colony Mill residents also enjoy unlimited access to our tastefully-appointed on-site amenities:  â¢	Fully-equipped fitness center â¢	State-of-the-art theater room with cinema-style seating and big screen TV â¢	Community room with lounge seating, full kitchen and billiards table â¢	Wifi lounge â¢	Lending library To schedule your personal tour, call us today at  show contact info  or click on the REPLY box above for our email contact info. Personal tours available 7 days a week: Monday - Saturday from 8:30 AM until 5:00 PM, Sunday from 12:00 PM â 5:00 PM.  *subject to change at any time.  Photos may represent similar unit.   Owned and professionally managed by Brady Sullivan Properties.   tm                                Keene, Gilsum, Sullivan, Spofford, Walpole, Chesterfield, Dublin, Stoddard, Nelson, Swanzey, West Swanzey, Marlborough, Westmoreland, Harrisville, Alstead, Marlow, West Chesterfield, Troy, Putney, Westminster",42.9627,-72.2955,vt
320791,https://vermont.craigslist.org/apa/d/burlington-131-main-st-apt-bd-2-ba-for/7046757827.html,vermont,975,apartment,960,2,2.0,0,0,1,0,0,0,,,https://images.craigslist.org/00j0j_8ycAu4PGiO2_600x450.jpg,"Charming condo apartment in one of Burlington's most desirable downtown locations. Completely remodeled from top to bottom, including all new plumbing and electrical wiring, this two bedroom sanctuary has a flow that is at once inviting and spacious. Located on the 4th floor, this unit has sweeping views of Lake Champlain and the Adirondacks. The tremendous sunsets are worth getting home for! The condo renovation was designed with great attention to detail and it shows in every room. The ultra modern kitchen maximizes its space with a stylish, functional layout featuring quartz counters, Bosch appliances and gorgeous tile. The elegant living/dining room area enjoys new hard wood flooring, tall ceilings and lovely natural light. Two bedrooms and tastefully renovated full baths including master en suite. All new windows are stylishly outfitted with custom blinds and drapery. For quick response Hit me  show contact info",44.483999999999995,-73.2199,vt
320792,https://vermont.craigslist.org/apa/d/saint-johnsbury-bedroom-everything/7040221344.html,vermont,600,house,2000,1,1.0,0,1,0,1,0,1,w/d in unit,off-street parking,https://images.craigslist.org/01212_eloRvBXCKNm_600x450.jpg,"Very nice furnished 1 room for rent in Danville. Shared comen areas. Water, sewer, electric, heat, internet, phone, trash included. Has nice backyard patio with fire pit. Great views of Burke Mountain. Call now for details. No smoking, must have job with proof of income. References needed.  2nd Person additional $295 month.  2 person max.  Dogs and horses welcome. $25 per month pet fee for dog. $125 per month for horse.",44.4185,-72.0576,vt
320793,https://vermont.craigslist.org/apa/d/burlington-qhillburlbrandnew1-2bed/7050217484.html,vermont,1455,apartment,750,1,1.0,1,0,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00C0C_gN8YBOtzsbv_600x450.jpg,"255 Building  and also Brand New Modern 55 Units 2500' from MCHV  ****** RESERVE YOUR NEW UNIT NOW w a $500. *deposit 100% applicable to first months rent Live in the center of Vibrant Greater Burlington Community.   * Hospital Resident Doctors, Nursing Staff and Medical Graduate student(s) Market rate rentals.   Next door to UVM Medical Campus Hospital DISTRICT. On the bike path  Walk Main St/Williston Rd, Staples Plaza, UVM Medical Campus and Hospital, University Mall. Shopping and Restaurant District   Close to Burlington Waterfront , Church Street Market Place, Burl Int . Airport, 3 Grocery store  1 bed 1 bath  $1375-$1525               Modern Studios $1225 - 1320  2 bed  $1720, $1825 and $1950    Rent includes:  * Winter Heat. * Hot water. * Parking and garage available.  * Stainless Steel Appliances: full size ss refrigerator*dishwasher*microwave* S.S. stove. * Full Washer Dryer in unit (not a common area laundry or coin op) * Energy star appliances, light fixtures and windows.  * Big decks or balconies w views. * Poolside Seasonal Summer Clubhouse, sundeck, grill menu, legal beverages, convenient to go menu * Access to 2 Summer Swimming pools surrounded by a 1.5 acre landscaped green. * Spacious 9' ceiling on all floors.  * Modern energy star construction, with quality finishes, tile floor bathrooms.  * Over sized Elevator to all floors.  * Snow removal, Rubbish removal, water,sewer. * Common area maintenance weekly. * On site facility maintenance person.  * On site property management office.  * Model unit open by appointment     315 Quarry Hill Rd~just past UVM Harris Millis, S Burl. VT About Us /Floor plans/ Rental Application visit     Burlington apartments South Burlington rentals units",44.4693,-73.1878,vt
320794,https://vermont.craigslist.org/apa/d/burlington-qhillburlbrandnew-top/7050213560.html,vermont,1850,apartment,1000,2,2.0,1,0,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/01111_kujp2BpahFU_600x450.jpg,"Top FLOOR in Brand New Modern 55 Units 2500' from MCHV(short walk)   ***  Showings 7 days a week by appointment  show contact info   RESERVE YOUR NEW UNIT NOW w a $750. *deposit 100% applicable to first months rent Live in the center of Vibrant Greater Burlington Community. Live in the center of Vibrant Greater Burlington Community.   * Hospital Resident Doctors, Nursing Staff and Medical Graduate student(s) Market rate rentals.   Next door to UVM, Medical Campus District and Hospital. On the bike path  Walk Main St/Williston Rd, Staples Plaza, UVM Medical Campus and Hospital, University Mall. Less than 2.5 miles to : Shopping and Restaurant District   Burlington Waterfront , Church Street Market Place, Burl Int . Airport, 3 Grocery store  Modern Studios      $1225 - 1320  1 bed 1 bath            $1375, 1450 -$1550     2 bed 1 or 2 bath    $1650 - $1950    Rent includes:  * Winter Heat. * Hot water. * Parking and garage available.  * Stainless Steel Appliances: full size ss refrigerator*dishwasher*microwave* S.S. stove. * Full Washer Dryer in unit (not a common area laundry or coin op) * Energy star appliances, light fixtures and windows.  * Big decks or balconies w views. * Poolside Seasonal Summer Clubhouse, sundeck, grill menu, legal beverages, convenient to go menu * Access to 2 Summer Swimming pools surrounded by a 1.5 acre landscaped green. * Spacious 9' ceiling on all floors.  * Modern energy star construction, with quality finishes, tile floor bathrooms.  * Over sized Elevator to all floors.  * Snow removal, Rubbish removal, water,sewer. * Common area maintenance weekly. * On site facility maintenance person.  * On site property management office.  * Model unit open by appointment     315 Quarry Hill Rd~just past UVM Harris Millis, S Burl. VT About Us /Floor plans/ Rental Application visit     Burlington apartments South Burlington rentals units",44.4701,-73.1877,vt
320795,https://vermont.craigslist.org/apa/d/burlington-qhillburlnewly-built/7050210479.html,vermont,1795,apartment,1000,2,2.0,1,0,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00f0f_fdNFFLiMUDG_600x450.jpg,"Newly Built Units 2500' from MCHV  *** MT Views ! RESERVE YOUR NEW UNIT NOW w a $750. *deposit 100% applicable to first months rent Live in the center of Vibrant Greater Burlington Community. Live in the center of Vibrant Greater Burlington Community.   * Hospital Resident Doctors, Nursing Staff and Medical Graduate student(s) Market rate rentals .   Next door to UVM Medical Campus District and Hospital. On the bike path  Walk Main St/Williston Rd, Staples Plaza, UVM Medical Campus, Hospital, University Mall. Less than 2.5 miles to : Shopping and Restaurant District, Burlington Waterfront , Church Street Market Place, Burl Int . Airport, 3 Grocery stores Modern Studios =   $1250 - 1390 1 bed 1 bath        =  $1430-$1520      2 bed 1or2 bath  =  $1720- $1950    Rent includes:  * Winter Heat. * Hot water. * Parking and garage available.  * Stainless Steel Appliances: full size ss refrigerator*dishwasher*microwave* S.S. stove. * Full Washer Dryer in unit (not a common area laundry or coin op) * Energy star appliances, light fixtures and windows.  * Big decks or balconies w views. * Poolside Seasonal Summer Clubhouse, sundeck, grill menu, legal beverages, convenient to go menu * Access to 2 Summer Swimming pools surrounded by a 1.5 acre landscaped green. * Spacious 9' ceiling on all floors.  * Modern energy star construction, with quality finishes, tile floor bathrooms.  * Over sized Elevator to all floors.  * Snow removal, Rubbish removal, water,sewer. * Common area maintenance weekly. * On site facility maintenance person and property management office.  * Model unit open by appointment 7 days a week   315, 255,430  Quarry Hill Rd~just past UVM Harris Millis, S Burl. VT About Us see our .com  at quarryhillclub  /Floor plans/ Rental Application on web site     Burlington apartments South Burlington rentals units",44.4698,-73.1871,vt
320796,https://vermont.craigslist.org/apa/d/burlington-qhillburlbrandnew1or-2bd1375/7034497075.html,vermont,1375,apartment,600,1,1.0,1,0,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/01111_kujp2BpahFU_600x450.jpg,"Brand New Modern 55 Units 2500' from MCHV  ***Avail. now*** RESERVE YOUR NEW UNIT NOW w a $500. *deposit 100% applicable to first months rent Live in the center of Vibrant Greater Burlington Community.   * Hospital Resident Doctors, Nursing Staff and Medical Graduate student(s) Market rate rentals.   Next door walk to and from  UVM, Medical Campus District and Hospital. On the bike path  Walk Main St/Williston Rd, Staples Plaza, UVM Medical Campus and Hospital, University Mall. Less than 2.5 miles to : Shopping and Restaurant District   Burlington Waterfront , Church Street Market Place, Burl Int . Airport, 3 Grocery store  Modern studios $1225 - $1325  1 bed 1 bath  $1395, 1455 and $1485     2 bed 1 or 2 bath $1795- $1895 Rent includes:  * Winter Heat. * Hot water. * Parking and garage available.  * Stainless Steel Appliances: full size ss refrigerator*dishwasher*microwave* S.S. stove. * Full Washer Dryer in unit (not a common area laundry or coin op) * Energy star appliances, light fixtures and windows.  * Big decks or balconies w views. * Poolside Seasonal Summer Clubhouse, sundeck, grill menu, legal beverages, convenient to go menu * Access to 2 Summer Swimming pools surrounded by a 1.5 acre landscaped green. * Spacious 9' ceiling on all floors.  * Modern energy star construction, with quality finishes, tile floor bathrooms.  * Over sized Elevator to all floors.  * Snow removal, Rubbish removal, water,sewer. * Common area maintenance weekly. * On site facility maintenance person.  * On site property management office.  * Model unit open by appointment     430 Quarry Hill Rd~just past UVM Harris Millis, S Burl. VT About Us /Floor plans/ Rental Application visit     Burlington apartments South Burlington rentals units",44.4702,-73.1875,vt
320797,https://vermont.craigslist.org/apa/d/burlington-qhillburlnewly-built/7050209527.html,vermont,1795,apartment,1000,2,2.0,1,0,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00A0A_6VuFiM8McmQ_600x450.jpg,"Newly Built Units 2500' from MCHV  *** MT Views ! Buildings 255, 315 ,430 RESERVE YOUR NEW UNIT NOW w a $750. *deposit 100% applicable to first months rent Live in the center of Vibrant Greater Burlington Community. Live in the center of Vibrant Greater Burlington Community.   * Hospital Resident Doctors, Nursing Staff and Medical Graduate student(s) Market rate rentals .   Next door to UVM Medical Campus District and Hospital. On the bike path  Walk Main St/Williston Rd, Staples Plaza, UVM Medical Campus, Hospital, University Mall. Less than 2.5 miles to : Shopping and Restaurant District, Burlington Waterfront , Church Street Market Place, Burl Int . Airport, 3 Grocery stores Modern Studios =   $1250 - 1390 1 bed 1 bath        =  $1430-$1520      2 bed 1or2 bath  =  $1720- $1950    Rent includes:  * Winter Heat. * Hot water. * Parking and garage available.  * Stainless Steel Appliances: full size ss refrigerator*dishwasher*microwave* S.S. stove. * Full Washer Dryer in unit (not a common area laundry or coin op) * Energy star appliances, light fixtures and windows.  * Big decks or balconies w views. * Poolside Seasonal Summer Clubhouse, sundeck, grill menu, legal beverages, convenient to go menu * Access to 2 Summer Swimming pools surrounded by a 1.5 acre landscaped green. * Spacious 9' ceiling on all floors.  * Modern energy star construction, with quality finishes, tile floor bathrooms.  * Over sized Elevator to all floors.  * Snow removal, Rubbish removal, water,sewer. * Common area maintenance weekly. * On site facility maintenance person and property management office.  * Model unit open by appointment 7 days a week   315, 255,430  Quarry Hill Rd~just past UVM Harris Millis, S Burl. VT About Us see our .com  at quarryhillclub  /Floor plans/ Rental Application on web site     Burlington apartments South Burlington rentals units",44.4698,-73.1871,vt
320798,https://vermont.craigslist.org/apa/d/essex-junction-two-bed-two-bath-in/7035030345.html,vermont,1700,apartment,1050,2,2.0,1,1,1,0,0,0,laundry in bldg,attached garage,https://images.craigslist.org/00404_hUNw6u0b9kZ_600x450.jpg,"5 Corners Apartments located at the Five Corners in Essex Junction VT is available Now. 5 Corners is a true neighborhood location, centrally located in the heart of Essex Junction. 5 Corners is within walking distance to restaurants, shopping, grocery stores, and other businesses and services. Its central location allows easy access to 1-89 and is only minutes to the airport and the hospital. Downtown Burlington is only a short drive away.  This new apartments features 2 bedroom 2 baths.  This unit is spacious and bright with 9ft ceilings. You will love living in this ideal setting with everything you need right at your doorstep.  Property Features:  - Bright and Spacious units in the heart of Five Corners, Essex - 9' Ceilings with lots of closet space and storage - Dishwasher, Microwave, Disposal, Refrigerator - Upgraded Kitchen with granite counters and Stainless Steel Appliances - Underground/Covered parking (most units) - AC - Hardwood Flooring - Bathrooms with Tile Floors - Wall to Wall Carpet in Bedrooms - Laundry Facilities on premises - Terraced balconies on select units with amazing views of the Green Mountains  Community Features:  - Ideally located close to I-89, Burlington, Airport , Hospital and University - Shopping and all Services within walking distance - Underground or covered parking - Near public transit - Elevator - Retail Services on First Floor of building (restaurants etc)   Visit www.5cornersessex.com for more information and to see floor plans and pricing of each available unit. Don't miss this fabulous opportunity to live in this amazing complex.  Our professional management staff can be contacted at  show contact info",44.5035,-73.0906,vt
